9000,"[0.00111123458162018, 0.0012223580397821981, 0.08445382820313369, 0.0845649516612957, 0.16779642182464719, 0.1679075452828092, 0.2511390154461607, 0.25125013890432274, 0.3344816090676742, 0.3345927325258362, 0.4178242026891877, 0.41793532614734974, 0.5011667963107013, 0.5012779197688633, 0.5845093899322147, 0.5846205133903768, 0.6678519835537282, 0.6679631070118902, 0.7511945771752417, 0.7513057006334037, 0.8345371707967553, 0.8346482942549173, 0.9178797644182688, 0.9179908878764308, 0.999777753083676, 0.999888876541838]","[[1.0573804378509521, 0.0], [1.0983922520794827, 0.0], [1.1869797663360633, 0.0], [1.2761320588801732, 0.0], [1.3659339545832065, 0.0], [1.4564879990722468, 0.0], [1.5479196309854766, 0.0], None, None, [1.734074229487572, 0.0], None, None, [1.9261222777456137, 0.0], [2.023463032951312, 0.0], None, None]","[[0.2512361875467106, 0.2523472986578228], [0.2621181300797288, 0.26322924119084096], [0.273990000067385, 0.2751011111784982], [0.28699331455478605, 0.2881044256658982], [0.30129791476712553, 0.3024090258782377], [0.3171094255994881, 0.3182205367106003], [0.33467920363094206, 0.33579031474205423], None, None, [0.37641347160823346, 0.37752458271934564], None, None, [0.43008432114066586, 0.43119543225177803], [0.46311953086673285, 0.464230641977845], None, None]",
9000,"[0.5845093899322147, 0.5846205133903768, 0.7511945771752417, 0.7513057006334037, 0.999777753083676, 0.999888876541838]","[None, None, None, None, None, None]","[None, None, None, None, None, None]",
9000,"[0.5845093899322147, 0.5846205133903768, 0.7511945771752417, 0.7513057006334037, 0.999777753083676, 0.999888876541838]","[None, None, None, None, None, None]","[None, None, None, None, None, None]",
9000,"[0.5845093899322147, 0.5846205133903768, 0.7511945771752417, 0.7513057006334037, 0.999777753083676, 0.999888876541838]","[[1.640383807188141, 0.0], [1.8292362890467224, 0.0], [2.1200844596244117, 0.0]]","[[0.35431779923419776, 0.355428910345311], [0.4014581170724956, 0.4025692281836078], [0.5009444814732528, 0.5020555925843649]]",
9000,"[0.5845093899322147, 0.5846205133903768, 0.7511945771752417, 0.7513057006334037, 0.999777753083676, 0.999888876541838]","[[1.640383807188141, 0.0], [1.8292362890467224, 0.0], [2.1200844596244117, 0.0]]","[[0.35431779923419776, 0.355428910345311], [0.4014581170724956, 0.4025692281836078], [0.5009444814732528, 0.5020555925843649]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383812266648, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383812266648, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.6403837862167079, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383787626074, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383787626074, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[None, None]","[None, None]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383787626074, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.6403838076458237, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.6403838076458237, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383787626074, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.5845093899322147, 0.5846205133903768]","[[1.640383787626074, 0.0]]","[[0.35431779923419776, 0.355428910345311]]",
9000,"[0.00111123458162018, 0.0012223580397821981, 0.08445382820313369, 0.0845649516612957, 0.16779642182464719, 0.1679075452828092, 0.2511390154461607, 0.25125013890432274, 0.3344816090676742, 0.3345927325258362, 0.4178242026891877, 0.41793532614734974, 0.5011667963107013, 0.5012779197688633, 0.5845093899322147, 0.5846205133903768, 0.6678519835537282, 0.6679631070118902, 0.7511945771752417, 0.7513057006334037, 0.8345371707967553, 0.8346482942549173, 0.9178797644182688, 0.9179908878764308, 0.999777753083676, 0.999888876541838]","[[1.0573804378509521, 0.0], [1.0983922518458273, 0.0], [1.1869791421836142, 0.0], [1.2761313128460288, 0.0], [1.3659339505957457, 0.0], [1.4564879941728592, 0.0], [1.5479196559570154, 0.0], [1.640383787626074, 0.0], [1.734074199287928, 0.0], [1.8292362874001697, 0.0], [1.926122277520517, 0.0], [2.0234630287430204, 0.0], [2.120084461843695, 0.0]]","[[0.2512361875467106, 0.2523472986578228], [0.2621181300797288, 0.26322924119084096], [0.273990000067385, 0.2751011111784982], [0.28699331455478605, 0.2881044256658982], [0.30129791476712553, 0.3024090258782377], [0.3171094255994881, 0.3182205367106003], [0.33467920363094206, 0.33579031474205423], [0.35431779923419776, 0.355428910345311], [0.37641347160823346, 0.37752458271934564], [0.4014581170724956, 0.4025692281836078], [0.43008432114066586, 0.43119543225177803], [0.46311953086673285, 0.464230641977845], [0.5009444814732528, 0.5020555925843649]]",
